"Task ID","Created At","Completed At","Last Modified",Name,Assignee,"Due Date",Tags,Notes,Projects,"Parent Task"
2932,2017-03-01,1970-01-01,1970-01-01,"Create a flow-chart for time tracking - review current Microsoft project &amp; timesheet business logics. Master time sheet module to be designed to capture actual hours","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2933,2017-03-01,1970-01-01,1970-01-01,"Remove color label from to-do","sadequr_rahman,Maher Murshed",2017-03-01,,,"Navigate Application Development","UX Design, Features and Bug Review"
2934,2017-03-05,1970-01-01,1970-01-01,"Sentence punctuation checking in Chatting.","Maher Murshed,sadequr_rahman,David Cheung,Peter Palarchio",2017-03-06,,,"Navigate Application Development","UX Design, Features and Bug Review"
2935,2017-03-06,1970-01-01,1970-01-01,"Hot key(ctrl+?) to search todo or task","Maher Murshed,sadequr_rahman,David Cheung,Peter Palarchio",2017-03-06,,"If you click ctrl+ s in todo create box, then it will switch to search box.After searching if you again press ctrl+s ,then it will again turn to create todo box.","Navigate Application Development","UX Design, Features and Bug Review"
2936,2017-03-13,1970-01-01,1970-01-01,"Add a vertical blue bar on current task &amp; sub-task I am currently on","Maher Murshed,Anwar Ali,sadequr_rahman",2017-03-13,,,"Navigate Application Development","UX Design, Features and Bug Review"
2937,2017-03-13,1970-01-01,1970-01-01,"Remember position when I am coming back from Project Properties page","Anwar Ali,Maher Murshed,sadequr_rahman",2017-03-13,,,"Navigate Application Development","UX Design, Features and Bug Review"
2938,2017-03-13,1970-01-01,1970-01-01,"Each status should be colored text for better legend. Initiated can be gray, completed green, hold red, in progress blue, waiting for feedback orange","Anwar Ali,Maher Murshed,sadequr_rahman",2017-03-13,,,"Navigate Application Development","UX Design, Features and Bug Review"
2939,2017-03-13,1970-01-01,1970-01-01,"Instead of properties button, sub-task should have option button to keep properties and add another sub-task menu","Anwar Ali,Maher Murshed,sadequr_rahman",2017-03-25,,,"Navigate Application Development","UX Design, Features and Bug Review"
2943,2017-03-25,1970-01-01,1970-01-01,"Project alert in project bar, alert/filter option, each project has marking for alert","Anwar Ali,Maher Murshed,sadequr_rahman",,,,"Navigate Application Development","UX Design, Features and Bug Review"
2945,2017-04-27,1970-01-01,1970-01-01,"Scroll in Left menu bar","Anwar Ali,Maher Murshed,sadequr_rahman",2017-04-27,,,"Navigate Application Development","UX Design, Features and Bug Review"
2946,2017-05-03,2017-05-03,2017-05-03,"Drill down status report for project","sadequr_rahman,Maher Murshed,Anwar Ali",2017-05-03,,,"Navigate Application Development","UX Design, Features and Bug Review"
2922,2017-03-01,1970-01-01,1970-01-01,"Branding &amp; Marketing Tasks","sadequr_rahman,Maher Murshed",2017-03-23,,,"Navigate Application Development",
2941,2017-03-23,1970-01-01,1970-01-01,"Android app UX design with documentaion","Anwar Ali,sadequr_rahman,Maher Murshed",2017-03-23,,,"Navigate Application Development","Android App UX Design, Feature &amp; Bug Review"
2942,2017-03-23,1970-01-01,2017-04-25,"Android api development for db communication","Anwar Ali,sadequr_rahman,Maher Murshed",,,,"Navigate Application Development","Android App UX Design, Feature &amp; Bug Review"
2944,2017-04-18,1970-01-01,1970-01-01,ddd,"Demo,sadequr_rahman,Maher Murshed",,,,"Navigate Application Development",
