"Task ID","Created At","Completed At","Last Modified",Name,Assignee,"Due Date",Tags,Notes,Projects,"Parent Task"
2300,2016-11-30,,2016-11-30,"Ask IT to input IT budget data both Cap-Ex and recurring",,,,,"Budget Forecast for AG",
2301,2016-11-30,,2016-11-30,"Ask location admins to submit Cap-Ex data",,,,,"Budget Forecast for AG",
2299,2016-11-30,,2016-11-30,"Ask central IT to confirm the budget on Excel and get confirmation from Anwar",,,,,"Budget Forecast for AG",
2297,2016-11-30,,2017-02-28,"Ask IT to collect spec data from all locations","Maher Murshed",2016-12-22,,,"Budget Forecast for AG",
2298,2016-11-30,,2017-03-01,"Ask location wise Admin personnel to input cost category wise budget data",,2017-03-16,,,"Budget Forecast for AG",
2296,2016-11-30,,2017-03-29,"Collect Budget Data from all cost centers except IT budget","Maher Murshed",2017-01-26,,,"Budget Forecast for AG",
